Gemcodel,Gemcod,provcode,provcodel
3,Appingedam,20,Groningen
5,Bedum,20,Groningen
7,Bellingwedde,20,Groningen
9,Ten Boer,20,Groningen
10,Delfzijl,20,Groningen
1651,Eemsmond,20,Groningen
14,Groningen,20,Groningen
15,Grootegast,20,Groningen
17,Haren,20,Groningen
18,Hoogezand-Sappemeer,20,Groningen
22,Leek,20,Groningen
24,Loppersum,20,Groningen
1663,De Marne,20,Groningen
25,Marum,20,Groningen
1987,Menterwolde,20,Groningen
1895,Oldambt,20,Groningen
765,Pekela,20,Groningen
40,Slochteren,20,Groningen
37,Stadskanaal,20,Groningen
47,Veendam,20,Groningen
48,Vlagtwedde,20,Groningen
53,Winsum,20,Groningen
56,Zuidhorn,20,Groningen
59,Achtkarspelen,21,Friesland
60,Ameland,21,Friesland
63,het Bildt,21,Friesland
55,Boarnsterhim,21,Friesland
1891,Dantumadiel,21,Friesland
58,Dongeradeel,21,Friesland
1722,Ferwerderadiel,21,Friesland
70,Franekeradeel,21,Friesland
653,Gaasterlân-Sleat,21,Friesland
72,Harlingen,21,Friesland
74,Heerenveen,21,Friesland
79,Kollumerland en Nieuwkruisland,21,Friesland
80,Leeuwarden,21,Friesland
81,Leeuwarderadeel,21,Friesland
82,Lemsterland,21,Friesland
140,Littenseradiel,21,Friesland
1908,Menameradiel,21,Friesland
85,Ooststellingwerf,21,Friesland
86,Opsterland,21,Friesland
88,Schiermonnikoog,21,Friesland
51,Skarsterlân,21,Friesland
90,Smallingerland,21,Friesland
1900,Súdwest-Fryslân,21,Friesland
93,Terschelling,21,Friesland
737,Tytsjerksteradiel,21,Friesland
96,Vlieland,21,Friesland
98,Weststellingwerf,21,Friesland
1680,Aa en Hunze,22,Drenthe
106,Assen,22,Drenthe
1681,Borger-Odoorn,22,Drenthe
109,Coevorden,22,Drenthe
114,Emmen,22,Drenthe
118,Hoogeveen,22,Drenthe
119,Meppel,22,Drenthe
1731,Midden-Drenthe,22,Drenthe
1699,Noordenveld,22,Drenthe
1730,Tynaarlo,22,Drenthe
1701,Westerveld,22,Drenthe
1690,De Wolden,22,Drenthe
141,Almelo,23,Overijssel
147,Borne,23,Overijssel
148,Dalfsen,23,Overijssel
150,Deventer,23,Overijssel
1774,Dinkelland,23,Overijssel
153,Enschede,23,Overijssel
158,Haaksbergen,23,Overijssel
160,Hardenberg,23,Overijssel
163,Hellendoorn,23,Overijssel
164,Hengelo,23,Overijssel
1735,Hof van Twente,23,Overijssel
166,Kampen,23,Overijssel
168,Losser,23,Overijssel
173,Oldenzaal,23,Overijssel
1773,Olst-Wijhe,23,Overijssel
175,Ommen,23,Overijssel
177,Raalte,23,Overijssel
1742,Rijssen-Holten,23,Overijssel
180,Staphorst,23,Overijssel
1708,Steenwijkerland,23,Overijssel
183,Tubbergen,23,Overijssel
1700,Twenterand,23,Overijssel
189,Wierden,23,Overijssel
1896,Zwartewaterland,23,Overijssel
193,Zwolle,23,Overijssel
34,Almere,24,Flevoland
303,Dronten,24,Flevoland
995,Lelystad,24,Flevoland
171,Noordoostpolder,24,Flevoland
184,Urk,24,Flevoland
50,Zeewolde,24,Flevoland
197,Aalten,25,Gelderland
200,Apeldoorn,25,Gelderland
202,Arnhem,25,Gelderland
203,Barneveld,25,Gelderland
1859,Berkelland,25,Gelderland
209,Beuningen,25,Gelderland
1876,Bronckhorst,25,Gelderland
213,Brummen,25,Gelderland
214,Buren,25,Gelderland
216,Culemborg,25,Gelderland
221,Doesburg,25,Gelderland
222,Doetinchem,25,Gelderland
225,Druten,25,Gelderland
226,Duiven,25,Gelderland
228,Ede,25,Gelderland
230,Elburg,25,Gelderland
232,Epe,25,Gelderland
233,Ermelo,25,Gelderland
236,Geldermalsen,25,Gelderland
241,Groesbeek,25,Gelderland
243,Harderwijk,25,Gelderland
244,Hattem,25,Gelderland
246,Heerde,25,Gelderland
252,Heumen,25,Gelderland
733,Lingewaal,25,Gelderland
1705,Lingewaard,25,Gelderland
262,Lochem,25,Gelderland
263,Maasdriel,25,Gelderland
265,Millingen aan de Rijn,25,Gelderland
1955,Montferland,25,Gelderland
1740,Neder-Betuwe,25,Gelderland
304,Neerijnen,25,Gelderland
267,Nijkerk,25,Gelderland
268,Nijmegen,25,Gelderland
302,Nunspeet,25,Gelderland
269,Oldebroek,25,Gelderland
1586,Oost Gelre,25,Gelderland
1509,Oude IJsselstreek,25,Gelderland
1734,Overbetuwe,25,Gelderland
273,Putten,25,Gelderland
274,Renkum,25,Gelderland
275,Rheden,25,Gelderland
196,Rijnwaarden,25,Gelderland
277,Rozendaal,25,Gelderland
279,Scherpenzeel,25,Gelderland
281,Tiel,25,Gelderland
282,Ubbergen,25,Gelderland
285,Voorst,25,Gelderland
289,Wageningen,25,Gelderland
668,West Maas en Waal,25,Gelderland
293,Westervoort,25,Gelderland
296,Wijchen,25,Gelderland
294,Winterswijk,25,Gelderland
297,Zaltbommel,25,Gelderland
299,Zevenaar,25,Gelderland
301,Zutphen,25,Gelderland
307,Amersfoort,26,Utrecht
308,Baarn,26,Utrecht
310,De Bilt,26,Utrecht
312,Bunnik,26,Utrecht
313,Bunschoten,26,Utrecht
317,Eemnes,26,Utrecht
321,Houten,26,Utrecht
353,IJsselstein,26,Utrecht
327,Leusden,26,Utrecht
331,Lopik,26,Utrecht
335,Montfoort,26,Utrecht
356,Nieuwegein,26,Utrecht
589,Oudewater,26,Utrecht
339,Renswoude,26,Utrecht
340,Rhenen,26,Utrecht
736,De Ronde Venen,26,Utrecht
342,Soest,26,Utrecht
1904,Stichtse Vecht,26,Utrecht
344,Utrecht,26,Utrecht
1581,Utrechtse Heuvelrug,26,Utrecht
345,Veenendaal,26,Utrecht
620,Vianen,26,Utrecht
352,Wijk bij Duurstede,26,Utrecht
632,Woerden,26,Utrecht
351,Woudenberg,26,Utrecht
355,Zeist,26,Utrecht
358,Aalsmeer,27,Noord-Holland
361,Alkmaar,27,Noord-Holland
362,Amstelveen,27,Noord-Holland
363,Amsterdam,27,Noord-Holland
370,Beemster,27,Noord-Holland
373,Bergen (NH.),27,Noord-Holland
375,Beverwijk,27,Noord-Holland
376,Blaricum,27,Noord-Holland
377,Bloemendaal,27,Noord-Holland
381,Bussum,27,Noord-Holland
383,Castricum,27,Noord-Holland
384,Diemen,27,Noord-Holland
498,Drechterland,27,Noord-Holland
385,Edam-Volendam,27,Noord-Holland
388,Enkhuizen,27,Noord-Holland
365,Graft-De Rijp,27,Noord-Holland
392,Haarlem,27,Noord-Holland
393,Haarlemmerliede en Spaarnwoude,27,Noord-Holland
394,Haarlemmermeer,27,Noord-Holland
395,Harenkarspel,27,Noord-Holland
396,Heemskerk,27,Noord-Holland
397,Heemstede,27,Noord-Holland
398,Heerhugowaard,27,Noord-Holland
399,Heiloo,27,Noord-Holland
400,Den Helder,27,Noord-Holland
402,Hilversum,27,Noord-Holland
1911,Hollands Kroon,27,Noord-Holland
405,Hoorn,27,Noord-Holland
406,Huizen,27,Noord-Holland
1598,Koggenland,27,Noord-Holland
415,Landsmeer,27,Noord-Holland
416,Langedijk,27,Noord-Holland
417,Laren,27,Noord-Holland
420,Medemblik,27,Noord-Holland
424,Muiden,27,Noord-Holland
425,Naarden,27,Noord-Holland
431,Oostzaan,27,Noord-Holland
432,Opmeer,27,Noord-Holland
437,Ouder-Amstel,27,Noord-Holland
439,Purmerend,27,Noord-Holland
441,Schagen,27,Noord-Holland
458,Schermer,27,Noord-Holland
532,Stede Broec,27,Noord-Holland
448,Texel,27,Noord-Holland
450,Uitgeest,27,Noord-Holland
451,Uithoorn,27,Noord-Holland
453,Velsen,27,Noord-Holland
852,Waterland,27,Noord-Holland
457,Weesp,27,Noord-Holland
1696,Wijdemeren,27,Noord-Holland
880,Wormerland,27,Noord-Holland
479,Zaanstad,27,Noord-Holland
473,Zandvoort,27,Noord-Holland
478,Zeevang,27,Noord-Holland
476,Zijpe,27,Noord-Holland
482,Alblasserdam,28,Zuid-Holland
613,Albrandswaard,28,Zuid-Holland
484,Alphen aan den Rijn,28,Zuid-Holland
489,Barendrecht,28,Zuid-Holland
491,Bergambacht,28,Zuid-Holland
568,Bernisse,28,Zuid-Holland
585,Binnenmaas,28,Zuid-Holland
1901,Bodegraven-Reeuwijk,28,Zuid-Holland
499,Boskoop,28,Zuid-Holland
501,Brielle,28,Zuid-Holland
502,Capelle aan den IJssel,28,Zuid-Holland
611,Cromstrijen,28,Zuid-Holland
503,Delft,28,Zuid-Holland
504,Dirksland,28,Zuid-Holland
505,Dordrecht,28,Zuid-Holland
689,Giessenlanden,28,Zuid-Holland
511,Goedereede,28,Zuid-Holland
512,Gorinchem,28,Zuid-Holland
513,Gouda,28,Zuid-Holland
693,Graafstroom,28,Zuid-Holland
518,'s-Gravenhage,28,Zuid-Holland
523,Hardinxveld-Giessendam,28,Zuid-Holland
530,Hellevoetsluis,28,Zuid-Holland
531,Hendrik-Ido-Ambacht,28,Zuid-Holland
534,Hillegom,28,Zuid-Holland
1884,Kaag en Braassem,28,Zuid-Holland
537,Katwijk,28,Zuid-Holland
588,Korendijk,28,Zuid-Holland
542,Krimpen aan den IJssel,28,Zuid-Holland
1621,Lansingerland,28,Zuid-Holland
545,Leerdam,28,Zuid-Holland
546,Leiden,28,Zuid-Holland
547,Leiderdorp,28,Zuid-Holland
1916,Leidschendam-Voorburg,28,Zuid-Holland
694,Liesveld,28,Zuid-Holland
553,Lisse,28,Zuid-Holland
556,Maassluis,28,Zuid-Holland
559,Middelharnis,28,Zuid-Holland
1842,Midden-Delfland,28,Zuid-Holland
643,Nederlek,28,Zuid-Holland
571,Nieuw-Lekkerland,28,Zuid-Holland
569,Nieuwkoop,28,Zuid-Holland
575,Noordwijk,28,Zuid-Holland
576,Noordwijkerhout,28,Zuid-Holland
579,Oegstgeest,28,Zuid-Holland
580,Oostflakkee,28,Zuid-Holland
584,Oud-Beijerland,28,Zuid-Holland
644,Ouderkerk,28,Zuid-Holland
590,Papendrecht,28,Zuid-Holland
1926,Pijnacker-Nootdorp,28,Zuid-Holland
597,Ridderkerk,28,Zuid-Holland
1672,Rijnwoude,28,Zuid-Holland
603,Rijswijk,28,Zuid-Holland
599,Rotterdam,28,Zuid-Holland
606,Schiedam,28,Zuid-Holland
608,Schoonhoven,28,Zuid-Holland
610,Sliedrecht,28,Zuid-Holland
612,Spijkenisse,28,Zuid-Holland
617,Strijen,28,Zuid-Holland
1525,Teylingen,28,Zuid-Holland
622,Vlaardingen,28,Zuid-Holland
623,Vlist,28,Zuid-Holland
626,Voorschoten,28,Zuid-Holland
627,Waddinxveen,28,Zuid-Holland
629,Wassenaar,28,Zuid-Holland
1783,Westland,28,Zuid-Holland
614,Westvoorne,28,Zuid-Holland
707,Zederik,28,Zuid-Holland
637,Zoetermeer,28,Zuid-Holland
638,Zoeterwoude,28,Zuid-Holland
1892,Zuidplas,28,Zuid-Holland
642,Zwijndrecht,28,Zuid-Holland
654,Borsele,29,Zeeland
664,Goes,29,Zeeland
677,Hulst,29,Zeeland
678,Kapelle,29,Zeeland
687,Middelburg,29,Zeeland
1695,Noord-Beveland,29,Zeeland
703,Reimerswaal,29,Zeeland
1676,Schouwen-Duiveland,29,Zeeland
1714,Sluis,29,Zeeland
715,Terneuzen,29,Zeeland
716,Tholen,29,Zeeland
717,Veere,29,Zeeland
718,Vlissingen,29,Zeeland
738,Aalburg,30,Noord-Brabant
1723,Alphen-Chaam,30,Noord-Brabant
743,Asten,30,Noord-Brabant
744,Baarle-Nassau,30,Noord-Brabant
1724,Bergeijk,30,Noord-Brabant
748,Bergen op Zoom,30,Noord-Brabant
1721,Bernheze,30,Noord-Brabant
753,Best,30,Noord-Brabant
1728,Bladel,30,Noord-Brabant
755,Boekel,30,Noord-Brabant
756,Boxmeer,30,Noord-Brabant
757,Boxtel,30,Noord-Brabant
758,Breda,30,Noord-Brabant
1706,Cranendonck,30,Noord-Brabant
1684,Cuijk,30,Noord-Brabant
762,Deurne,30,Noord-Brabant
766,Dongen,30,Noord-Brabant
1719,Drimmelen,30,Noord-Brabant
770,Eersel,30,Noord-Brabant
772,Eindhoven,30,Noord-Brabant
777,Etten-Leur,30,Noord-Brabant
779,Geertruidenberg,30,Noord-Brabant
1771,Geldrop-Mierlo,30,Noord-Brabant
1652,Gemert-Bakel,30,Noord-Brabant
784,Gilze en Rijen,30,Noord-Brabant
785,Goirle,30,Noord-Brabant
786,Grave,30,Noord-Brabant
788,Haaren,30,Noord-Brabant
1655,Halderberge,30,Noord-Brabant
1658,Heeze-Leende,30,Noord-Brabant
794,Helmond,30,Noord-Brabant
796,'s-Hertogenbosch,30,Noord-Brabant
797,Heusden,30,Noord-Brabant
798,Hilvarenbeek,30,Noord-Brabant
1659,Laarbeek,30,Noord-Brabant
1685,Landerd,30,Noord-Brabant
809,Loon op Zand,30,Noord-Brabant
1671,Maasdonk,30,Noord-Brabant
815,Mill en Sint Hubert,30,Noord-Brabant
1709,Moerdijk,30,Noord-Brabant
820,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant
823,Oirschot,30,Noord-Brabant
824,Oisterwijk,30,Noord-Brabant
826,Oosterhout,30,Noord-Brabant
828,Oss,30,Noord-Brabant
1667,Reusel-De Mierden,30,Noord-Brabant
1674,Roosendaal,30,Noord-Brabant
840,Rucphen,30,Noord-Brabant
844,Schijndel,30,Noord-Brabant
1702,Sint Anthonis,30,Noord-Brabant
845,Sint-Michielsgestel,30,Noord-Brabant
846,Sint-Oedenrode,30,Noord-Brabant
847,Someren,30,Noord-Brabant
848,Son en Breugel,30,Noord-Brabant
851,Steenbergen,30,Noord-Brabant
855,Tilburg,30,Noord-Brabant
856,Uden,30,Noord-Brabant
858,Valkenswaard,30,Noord-Brabant
860,Veghel,30,Noord-Brabant
861,Veldhoven,30,Noord-Brabant
865,Vught,30,Noord-Brabant
866,Waalre,30,Noord-Brabant
867,Waalwijk,30,Noord-Brabant
870,Werkendam,30,Noord-Brabant
873,Woensdrecht,30,Noord-Brabant
874,Woudrichem,30,Noord-Brabant
879,Zundert,30,Noord-Brabant
888,Beek,31,Limburg
889,Beesel,31,Limburg
893,Bergen (L.),31,Limburg
899,Brunssum,31,Limburg
1711,Echt-Susteren,31,Limburg
1903,Eijsden-Margraten,31,Limburg
907,Gennep,31,Limburg
1729,Gulpen-Wittem,31,Limburg
917,Heerlen,31,Limburg
1507,Horst aan de Maas,31,Limburg
928,Kerkrade,31,Limburg
882,Landgraaf,31,Limburg
1640,Leudal,31,Limburg
1641,Maasgouw,31,Limburg
935,Maastricht,31,Limburg
938,Meerssen,31,Limburg
944,Mook en Middelaar,31,Limburg
946,Nederweert,31,Limburg
951,Nuth,31,Limburg
881,Onderbanken,31,Limburg
1894,Peel en Maas,31,Limburg
1669,Roerdalen,31,Limburg
957,Roermond,31,Limburg
962,Schinnen,31,Limburg
965,Simpelveld,31,Limburg
1883,Sittard-Geleen,31,Limburg
971,Stein,31,Limburg
981,Vaals,31,Limburg
994,Valkenburg aan de Geul,31,Limburg
983,Venlo,31,Limburg
984,Venray,31,Limburg
986,Voerendaal,31,Limburg
988,Weert,31,Limburg
